"GEOID","population","percent_female","percent_white","percent_over_49","doctors_3sfca","doctors_kd2sfca","doctors_3sfca_euclidean","doctors_kd2sfca_euclidean","doctors_3sfca_30","doctors_3sfca_step","doctors_e2sfca","doctors_3sfca_commute"
110010001001,1508,53.9787798408488,73.8063660477454,39.5225464190981,1.91163878272265,2.05552874420941,1.51107634357971,1.51106704027197,1.89302053036756,1.88710362763687,2.01456424828832,1.96336113642061
110010001002,1376,51.0901162790698,93.8953488372093,33.2122093023256,1.91163878272265,2.05552874420941,1.51107401257957,1.51106395423333,1.89302053036756,1.88710362763687,2.01456424828832,1.96016660467497
110010001003,1108,50.5415162454874,92.5992779783393,36.8231046931408,1.91163878272265,2.05552874420941,1.51107565106063,1.51106613453731,1.89302053036756,1.88710362763687,2.01456424828832,1.96560137922277
110010001004,896,52.34375,92.0758928571429,42.6339285714286,2.14175874992987,2.4326652802481,1.51107450992942,1.51106477230969,2.11973727733917,2.18022718078819,2.48671592227156,2.26575536989868
110010002011,3922,55.8388577256502,65.7827638959714,1.50433452320245,1.91163878272265,2.05552874420941,1.51107870788544,1.51107042053819,1.89302053036756,1.88710362763687,2.01456424828832,2.1896387947328
110010002021,1242,48.3091787439614,87.8421900161031,28.6634460547504,1.91163878272265,2.05552874420941,1.51107793691062,1.51106924987312,1.89302053036756,1.88710362763687,2.01456424828832,2.02639582176458
110010002022,650,56.1538461538462,91.2307692307692,59.8461538461538,1.91163878272265,2.05552874420941,1.51107711771307,1.51106814552317,1.89302053036756,1.88710362763687,2.01456424828832,1.99621937311373
110010002023,894,51.4541387024609,84.7874720357942,15.7718120805369,1.91163878272265,2.05552874420941,1.51107661737911,1.51106749595683,1.89302053036756,1.88710362763687,2.01456424828832,1.98848654946468
110010002024,1923,49.869994799792,74.3629745189808,15.340613624545,2.22397544842271,2.57820598205112,1.51107744756794,1.51106873494396,2.19753492066376,2.1645426876221,2.52759946361711,2.37181425000241
110010003001,1270,55.8267716535433,92.2834645669291,14.9606299212598,1.91163878272265,2.05552874420941,1.51107880220323,1.51107045557952,1.89302053036756,1.88710362763687,2.01456424828832,1.98518765323267
110010003002,1343,62.9932985852569,80.3425167535369,6.62695457930008,2.22397639842243,2.60596884703878,1.51108064651685,1.51107317672022,2.20060985467262,2.28384876390564,2.65180598729244,2.3835594735227
110010003003,1893,55.1505546751189,72.107765451664,19.5456946645536,1.91163878272265,2.05552874420941,1.51107985056494,1.51107199528972,1.89302053036756,1.88710362763687,2.01456424828832,1.98242327930985
110010003004,2079,46.2722462722463,82.7801827801828,19.2881192881193,1.91163878272265,2.05552874420941,1.51107988042345,1.51107202055766,1.89302053036756,1.88710362763687,2.01456424828832,1.97423608286446
110010004001,553,50.0904159132007,91.3200723327306,40.6871609403255,1.91163878272265,2.05552874420941,1.51107906162001,1.51107090167467,1.89302053036756,1.88710362763687,2.01456424828832,1.9876756289472
110010004002,860,58.8372093023256,83.7209302325581,34.8837209302326,1.91163878272265,2.05552874420941,1.51107746244873,1.51106859426403,1.89302053036756,1.88710362763687,2.01456424828832,1.97178473162363
110010005011,1166,52.5728987993139,79.1595197255575,28.3018867924528,1.91163878272265,2.05552874420941,1.51107407682713,1.5110642045546,1.89302053036756,1.88710362763687,2.01456424828832,1.94968731432357
