"GEOID","population","percent_female","percent_white","percent_over_49","doctors_3sfca","doctors_kd2sfca","doctors_3sfca_euclidean","doctors_kd2sfca_euclidean","doctors_3sfca_30","doctors_3sfca_step","doctors_e2sfca","doctors_3sfca_commute"
"11001",692683,52.8042241188912,41.6624738354834,24.0624411021729,1.91728435958701,2.0201962113112,1.51105177939295,1.51103801128735,1.90529007074531,1.89853194077978,2.01107472586086,1.9807097495042
"24017",159428,50.7526820705531,49.6564160179491,28.4554451138605,1.01627626507407,0.844627557989592,1.51069392465816,1.51066512329666,1.06485981119971,1.00238325141853,0.797600830652062,0.950925529532116
"24021",251422,50.5757248811599,83.0973801387684,31.3946224604511,0.946350646542221,0.688874754465319,1.5102748328828,1.51031067045921,0.879803482479598,0.901017821606348,0.67561986579096,0.997020528639717
"24031",1043530,51.8612554382997,56.7593340543039,30.508041428249,1.65949853167682,1.55102520785483,1.51099368333445,1.51099484638715,1.67457257373403,1.64715259582795,1.54746480831005,1.57809348750306
"24033",908670,51.955867901994,17.4251946875082,27.6689687122436,1.77253198203319,1.79738656794112,1.51092629867868,1.51090136905798,1.77398363603958,1.78683999337689,1.82422989400792,1.7808148907233
"51013",233464,49.8401363317282,73.5087374380281,22.2308260844458,2.05815183794461,2.38354867309633,1.51107301923515,1.51106605738555,2.03306528675959,2.06337433566652,2.4104112997154,2.16241433683919
"51059",1145862,50.413761796943,62.8490120079834,27.641454024398,1.40100791422041,1.57622153443448,1.51097669836488,1.51098293362951,1.41137266313299,1.43976331177397,1.56516517383479,1.43249233287853
"51107",395134,50.5830778948614,68.2416388336404,24.6529301704949,1.08626949972532,0.957188816212947,1.51064796648056,1.51068283593036,1.12182901129608,1.10461489905643,0.928160547858426,0.999899447871888
"51153",461423,49.8933987491459,59.4178420412071,24.3637323371312,0.847601286908707,0.553025864796155,1.51069157898623,1.51070711381743,0.827262624611635,0.815575361824081,0.553364077800786,0.812233610708499
"51510",157613,52.2950891898249,65.2051416522529,25.2365551597893,1.75652833612288,1.96071858575939,1.51105012324011,1.51104082117392,1.70848283990492,1.70271862049084,2.03244178443603,1.87533750861243
"51600",23531,51.184829659894,69.3833185890062,29.1586295205197,1.46967281555621,1.68826527994528,1.51098556397486,1.51099606715022,1.48657228716491,1.46987183607943,1.65628475360581,1.50374878210187
"51610",14128,51.4953162418356,79.217894129912,27.7074556332564,1.91584178674325,2.35623746592329,1.51106975843306,1.51106970459069,1.89810455953218,1.94803486921323,2.37453336504672,2.02787141215247
"51683",41174,50.2374524443075,67.8235733474944,24.5446392632326,1.10854749928466,0.677281778644661,1.51070407921308,1.51072717707694,1.03808021180032,1.04537355432969,0.755565971224233,1.1030827828844
"51685",16986,49.3477729846696,61.4031908625355,19.1233975962957,1.01581083570649,0.769915861812324,1.51076400704984,1.51078523038196,1.0090951922591,0.957404673407904,0.778733442982093,1.03412604089743
