"GEOID","population","percent_female","percent_white","percent_over_49","X","Y"
"110010001001",1508,53.9787798408488,73.8063660477454,39.5225464190981,-77.0614098326371,38.9141483730723
"110010001002",1376,51.0901162790698,93.8953488372093,33.2122093023256,-77.0547543518811,38.9086078761246
"110010001003",1108,50.5415162454874,92.5992779783393,36.8231046931408,-77.0606505384073,38.9091079123748
"110010001004",896,52.34375,92.0758928571429,42.6339285714286,-77.0613487464404,38.8992726494713
"110010002011",3922,55.8388577256502,65.7827638959714,1.50433452320245,-77.0744067907155,38.9090656203706
"110010002021",1242,48.3091787439614,87.8421900161031,28.6634460547504,-77.0687127577605,38.9128671827389
"110010002022",650,56.1538461538462,91.2307692307692,59.8461538461538,-77.0667070702489,38.9091983229216
"110010002023",894,51.4541387024609,84.7874720357942,15.7718120805369,-77.0659247604075,38.9064488915571
"110010002024",1923,49.869994799792,74.3629745189808,15.340613624545,-77.0713748777689,38.9037199129991
"110010003001",1270,55.8267716535433,92.2834645669291,14.9606299212598,-77.0713313741236,38.9165517046763
"110010003002",1343,62.9932985852569,80.3425167535369,6.62695457930008,-77.0797406814048,38.9208792873338
"110010003003",1893,55.1505546751189,72.107765451664,19.5456946645536,-77.0769334639681,38.9162155617015
"110010003004",2079,46.2722462722463,82.7801827801828,19.2881192881193,-77.0754370724151,38.9206996685503
"110010004001",553,50.0904159132007,91.3200723327306,40.6871609403255,-77.0699131384286,38.927430040672
"110010004002",860,58.8372093023256,83.7209302325581,34.8837209302326,-77.0637655331108,38.9219342749722
"110010005011",1166,52.5728987993139,79.1595197255575,28.3018867924528,-77.050410313177,38.9285441926577
"110010005012",2268,48.1040564373898,76.3227513227513,20.7671957671958,-77.0543197631359,38.9224864219395
"110010005021",1825,54.5205479452055,81.1506849315068,28.986301369863,-77.0601245164154,38.9276136679009
"110010005022",1571,59.2616168045831,94.5257797581158,28.7078294080204,-77.0584130346528,38.9299903463144
"110010006001",1361,53.0492285084497,74.6509919177076,24.3938280675974,-77.0635464538844,38.938902791774
"110010006002",1076,56.2267657992565,91.1710037174721,17.6579925650558,-77.0619634209194,38.9335000882674
"110010006003",811,53.0209617755857,74.9691738594328,33.0456226880395,-77.0693764831854,38.9331455122961
"110010006004",1718,59.0221187427241,78.9871944121071,42.3166472642608,-77.070086115834,38.9383744018568
"110010007011",1336,59.9550898203593,66.0928143712575,19.8353293413174,-77.0751359189817,38.9318588251575
"110010007012",1157,46.1538461538462,70.0086430423509,19.8789974070873,-77.0784952178742,38.9308051726853
"110010007013",1684,60.5700712589074,81.6508313539192,68.8242280285036,-77.0791765057998,38.9277690620411
"110010007014",1609,41.5786202610317,70.6650093225606,25.7302672467371,-77.0753461811327,38.9278655154519
"110010007021",1306,71.8989280245023,82.9249617151608,30.6278713629403,-77.0799540707329,38.9239834011767
"110010007022",976,56.5573770491803,71.7213114754098,12.0901639344262,-77.0744089743633,38.9242834654056
"110010007023",690,51.4492753623188,66.8115942028985,14.7826086956522,-77.0769590214449,38.9243147126233
"110010008011",1559,74.5991019884541,77.228992944195,26.4913406029506,-77.0824273873275,38.932397192253
"110010008012",1284,52.6479750778816,70.0934579439252,27.5700934579439,-77.093528056811,38.9247046802034
"110010008013",2426,54.4105523495466,78.6067600989283,34.6248969497115,-77.0860675816768,38.9275805550302
"110010008014",926,53.9956803455724,80.8855291576674,16.0907127429806,-77.0982326177449,38.9165336689479
"110010008021",2152,57.7137546468402,65.9386617100372,23.8382899628253,-77.0894050523777,38.909225062746
"110010008022",1318,47.1927162367223,92.3368740515933,36.3429438543247,-77.0826738653576,38.9134678281923
"110010009011",1615,45.077399380805,80.3715170278638,33.0030959752322,-77.1041558753788,38.9323563143799
"110010009012",1597,52.4733876017533,86.3494051346274,45.835942391985,-77.1034667406904,38.94079724098
"110010009013",4058,60.8674223755545,78.3637259733859,11.409561360276,-77.0933259989877,38.9378810567928
"110010009021",985,51.7766497461929,79.2893401015228,30.6598984771574,-77.0987350532106,38.9276176407975
"110010009022",1431,52.1313766596785,91.6841369671558,34.7309573724668,-77.109763662497,38.9280923265215
"110010010011",832,47.2355769230769,80.4086538461538,24.1586538461538,-77.0867850407024,38.9569999667838
"110010010012",1885,49.7082228116711,79.7877984084881,28.7533156498674,-77.0847882784092,38.9510859917723
"110010010013",891,47.2502805836139,86.4197530864197,32.996632996633,-77.0941347539378,38.9494343138888
"110010010014",1577,54.9778059606848,85.9860494610019,26.2523779327838,-77.0852698372709,38.9438663998553
"110010010015",863,52.6071842410197,100,29.0845886442642,-77.0922018649629,38.9531009068911
"110010010016",1165,51.4163090128755,75.107296137339,40.5150214592275,-77.092716778197,38.9458673369724
"110010010021",1001,71.2287712287712,74.2257742257742,8.59140859140859,-77.0818839037294,38.9386864631494
"110010010022",1481,51.5192437542201,72.9237002025658,17.6907494935854,-77.0753429637326,38.9361526027878
"110010010023",946,58.5623678646934,85.3065539112051,20.4016913319239,-77.0783616500023,38.9396268615171
"110010011001",1704,61.9131455399061,95.3051643192488,44.3661971830986,-77.0770411867513,38.9624825649542
"110010011002",1548,55.3617571059432,75.0645994832041,35.4005167958656,-77.081186743312,38.9587997043757
"110010011003",662,59.5166163141994,81.8731117824773,28.0966767371601,-77.0731141837094,38.9571011964847
"110010011004",909,43.3443344334433,84.7084708470847,29.2629262926293,-77.0765169295591,38.9526784840279
"110010012001",1824,44.9013157894737,76.3157894736842,27.4671052631579,-77.0709180296787,38.9510166684989
"110010012002",936,54.1666666666667,67.2008547008547,32.6923076923077,-77.0714198419138,38.9487665547748
"110010012003",801,50.8114856429463,87.5156054931336,18.4769038701623,-77.0717147590586,38.9470680767366
"110010012004",1801,56.8573014991671,74.0144364242088,31.2048861743476,-77.069805695826,38.9438518738412
"110010013011",1850,65.1351351351351,64,22.2162162162162,-77.0513156339478,38.9537601961438
"110010013012",915,38.5792349726776,83.8251366120219,31.2568306010929,-77.062686339289,38.9551247009247
"110010013013",1569,51.434034416826,78.2664117272148,19.6303377947737,-77.0655983786989,38.9518637750412
"110010013021",2488,65.1527331189711,76.9694533762058,36.9774919614148,-77.0599302087113,38.94533627526
"110010013022",3994,52.1281922884327,77.3410115172759,24.0110165247872,-77.0547025403412,38.9367553205839
"110010013023",684,75.8771929824561,62.1345029239766,36.6959064327485,-77.0547830174837,38.9437700892375
"110010014011",2456,54.6416938110749,65.8387622149837,22.7605863192182,-77.0684916449036,38.9632195857643
"110010014012",1203,53.6159600997506,88.3624272651704,37.1571072319202,-77.0723975928143,38.9670361349059
"110010014021",1047,51.766953199618,79.2741165234002,29.1308500477555,-77.0605349004491,38.9630437305707
"110010014022",1163,57.4376612209802,81.8572656921754,41.7884780739467,-77.0618013901178,38.9595370004936
"110010014023",1160,51.3793103448276,61.3793103448276,35.2586206896552,-77.0697227063394,38.9584156763412
"110010015001",1679,40.6194163192376,77.9630732578916,31.8642048838594,-77.0501936422882,38.974000533167
"110010015002",1031,51.4064015518914,87.7788554801164,19.0106692531523,-77.0651207212508,38.9677600234528
"110010015003",672,46.577380952381,79.1666666666667,63.2440476190476,-77.0583092518536,38.9713866143584
"110010015004",1581,50.9803921568627,91.1448450347881,41.8722327640734,-77.0591320494501,38.9756299481345
"110010015005",1131,46.5959328028294,89.3015030946065,20.159151193634,-77.0669764429533,38.971952436198
"110010016001",1329,47.1030850263356,29.4206170052671,34.3115124153499,-77.0327485605979,38.9861001009368
"110010016002",675,45.9259259259259,40,34.962962962963,-77.0286522441613,38.9800398298903
"110010016003",896,62.3883928571429,38.28125,34.9330357142857,-77.0334409646386,38.9803942469218
"110010016004",2059,47.7416221466731,22.6809130645945,43.1277319086935,-77.041276460506,38.9852148440189
"110010017021",1513,53.8003965631196,63.8466622604098,25.5783212161269,-77.0198694036897,38.9726549149815
"110010017022",1969,51.5997968511935,49.1112239715592,28.4408329101066,-77.0131034157283,38.9710065719982
"110010018031",1288,46.8167701863354,14.9844720496894,29.0372670807453,-77.0404550269922,38.9674095433081
"110010018032",2943,48.2500849473327,4.28134556574923,16.8195718654434,-77.0348724885,38.9648902056635
"110010018041",1366,47.7306002928258,3.29428989751098,28.8433382137628,-77.0315540661173,38.9695559725575
"110010018042",2037,63.573883161512,9.62199312714777,23.3186057928326,-77.0286335420863,38.9671388976138
"110010018043",2491,52.0272982737856,8.22962665596146,26.9771176234444,-77.0316093360866,38.9643141458839
"110010019011",927,46.0625674217907,29.3419633225458,35.7065803667745,-77.0234144768589,38.9611939553622
"110010019012",956,58.4728033472803,6.79916317991632,23.5355648535565,-77.0238489821102,38.9638217891904
"110010019013",1553,53.5093367675467,34.2562781712814,24.8551191242756,-77.0237499001724,38.9661148253658
"110010019014",747,48.8621151271754,45.7831325301205,31.7269076305221,-77.0236397350105,38.9685989977639
"110010019021",1700,54.9411764705882,29.1176470588235,29,-77.0154026862111,38.9613504118453
"110010019022",844,48.696682464455,21.8009478672986,36.0189573459716,-77.0158605809993,38.9663969376446
"110010020011",2442,57.2891072891073,13.1859131859132,20.2293202293202,-77.0318378519303,38.959893180597
"110010020012",1048,43.4160305343511,33.8740458015267,44.8473282442748,-77.0370377721489,38.959203881996
"110010020021",1318,50.3034901365706,37.4051593323217,31.7147192716237,-77.0321558517501,38.9497261353251
"110010020022",1711,43.1911163062537,15.020455873758,18.4102863822326,-77.0299170457067,38.9580979969093
"110010020023",1752,49.8858447488584,22.6027397260274,21.5753424657534,-77.0304922564138,38.9528887333012
"110010021011",1362,40.3817914831131,6.31424375917768,31.9383259911894,-77.0246976703533,38.9587028399961
"110010021012",1008,64.484126984127,8.73015873015873,27.4801587301587,-77.0219615282547,38.9563881842501
"110010021013",1548,42.1834625322997,19.5090439276486,22.0284237726098,-77.0218325243386,38.9536709264829
"110010021014",439,39.1799544419134,23.9179954441913,28.0182232346241,-77.0257825776722,38.9535812092355
"110010021015",1174,62.0102214650767,23.8500851788756,28.1942078364566,-77.0260324053322,38.9562787609266
"110010021021",1136,46.0387323943662,20.1584507042254,26.4084507042254,-77.0134423327996,38.9585756711988
"110010021022",845,64.2603550295858,16.4497041420118,26.508875739645,-77.0103805899739,38.9549363100242
"110010021023",1341,60.9992542878449,12.751677852349,18.0462341536167,-77.0126217383585,38.955130373945
"110010021024",921,53.4201954397394,8.46905537459283,29.3159609120521,-77.014792859409,38.9549654753552
"110010021025",603,52.7363184079602,40.7960199004975,37.8109452736318,-77.0178403916511,38.9532545044995
"110010021026",814,42.8746928746929,10.6879606879607,23.4643734643735,-77.0179686359606,38.9559771239132
"110010022011",1512,55.952380952381,36.9047619047619,27.0502645502646,-77.0216697724754,38.9502170797746
"110010022012",1029,46.1613216715257,35.0826044703596,35.5685131195335,-77.0234128418139,38.9474867810949
"110010022013",723,49.9308437067773,24.896265560166,36.237897648686,-77.0254976151458,38.9504954770971
"110010022021",1754,42.0752565564424,15.4503990877993,10.8893956670468,-77.0122650577182,38.9487189457838
"110010022022",1006,51.1928429423459,29.1252485089463,28.0318091451292,-77.0176445116885,38.9479313393211
"110010022023",572,56.1188811188811,30.2447552447552,57.6923076923077,-77.0177155711916,38.9507050533017
"110010023011",1889,54.6850185283219,18.0518793012176,25.5161461090524,-77.0181917326845,38.9420194685101
"110010023012",1719,52.9377545084351,38.7434554973822,22.6876090750436,-77.0151824689,38.9431418358783
"110010023021",1612,41.8734491315136,41.8734491315136,41.6873449131514,-77.0108926525023,38.933898668486
"110010024001",1041,58.8856868395773,44.2843419788665,18.924111431316,-77.0219793082998,38.9378222087395
"110010024002",1094,61.4259597806216,30.9872029250457,38.5740402193784,-77.0228362775747,38.9446328686914
"110010024003",975,52.5128205128205,50.8717948717949,15.4871794871795,-77.0225667117077,38.9419832023648
"110010024004",994,57.645875251509,51.6096579476861,32.092555331992,-77.0218710897713,38.9399475939916
"110010025011",1700,39.7058823529412,20.0588235294118,22.3529411764706,-77.0296253126462,38.9442400138085
"110010025012",1560,49.1666666666667,31.2179487179487,28.7179487179487,-77.0345784720436,38.945064202426
"110010025021",1371,56.5280816921955,15.0255288110868,9.33625091174325,-77.0273967793439,38.9402269285152
"110010025022",2352,46.4710884353741,36.5221088435374,25.6377551020408,-77.0269745114166,38.9371577826125
"110010025023",1252,38.8977635782748,56.7891373801917,10.6230031948882,-77.0311799216366,38.9392702747428
"110010025024",1759,50.255827174531,19.1586128482092,24.6731097214326,-77.0345675113969,38.9396097382082
"110010026001",1318,52.959028831563,48.4825493171472,32.6251896813354,-77.0445715625351,38.9392705696425
"110010026002",1334,50.5247376311844,47.3013493253373,34.2578710644678,-77.0411834740943,38.9487781550827
"110010027011",493,53.7525354969574,59.6348884381339,24.1379310344828,-77.037475033393,38.9345360436441
"110010027012",1946,49.6402877697842,65.7245632065776,23.792394655704,-77.0403699415768,38.9331821823897
"110010027013",1034,39.9419729206963,83.5589941972921,12.2823984526112,-77.0440313120773,38.9346181975292
"110010027014",2329,49.6779733791327,23.7011592958351,14.0832975525977,-77.0376191969358,38.9364481797646
"110010027021",1524,50.9842519685039,42.5196850393701,3.34645669291339,-77.0377066429156,38.9304262008637
"110010027022",3186,48.2736974262398,63.9673571876962,21.1550533584432,-77.0400863392356,38.9291586948267
"110010027023",1339,52.2778192681105,75.8775205377147,21.0604929051531,-77.0444916275311,38.9308868622447
"110010028011",1985,60.4534005037783,32.6952141057935,16.9269521410579,-77.0344989477155,38.933520106019
"110010028012",2063,46.7765390208434,38.9238972370334,13.8633058652448,-77.0345298244375,38.9359269226513
"110010028021",3416,49.7072599531616,35.4508196721311,16.6276346604215,-77.0345676574509,38.9275519865463
"110010028022",1640,55.6707317073171,47.3170731707317,13.9024390243902,-77.0346969336525,38.9306514377749
"110010029001",1939,55.1315110881898,42.7539969056215,11.6554925219185,-77.0280934498815,38.9339923296846
"110010029002",2477,45.7811869196609,59.790068631409,16.95599515543,-77.0312975439785,38.9337530511492
"110010030001",1815,48.8154269972452,56.4187327823691,16.3085399449036,-77.0300065154488,38.9298956831882
"110010030002",1917,58.4246218049035,33.9071465832029,13.302034428795,-77.0299207654313,38.9276778272847
"110010031001",3605,48.9875173370319,38.1137309292649,18.0582524271845,-77.0254334776942,38.9306410908874
"110010032001",1743,48.2501434308663,34.9971313826736,16.7527251864601,-77.0216419062955,38.9358970578553
"110010032002",755,54.5695364238411,21.1920529801325,32.5827814569536,-77.0213222124071,38.933869608222
"110010032003",1185,55.0210970464135,33.3333333333333,19.1561181434599,-77.0211807616203,38.9315191575074
"110010032004",1618,52.5957972805933,27.5648949320148,18.9740420271941,-77.0207363034181,38.9290451949704
"110010033011",1440,58.3333333333333,55,16.7361111111111,-77.0105460380376,38.9223061573692
"110010033012",1308,51.5290519877676,64.5259938837921,9.78593272171254,-77.0120133308065,38.9169392116708
"110010033013",1390,50.5035971223022,39.9280575539568,27.4820143884892,-77.0134780171564,38.9194490195068
"110010033021",1138,52.4604569420035,55.0966608084358,15.377855887522,-77.0113554387415,38.915019301117
"110010033022",1168,54.9657534246575,50,16.1815068493151,-77.0109881346855,38.9128215780351
"110010034001",1472,56.1141304347826,23.7092391304348,14.4021739130435,-77.0160710072475,38.9176929754181
"110010034002",3535,61.4992927864215,38.1612446958982,7.2984441301273,-77.0179126930586,38.9219863586774
"110010035001",1674,40.7407407407407,34.3488649940263,15.7706093189964,-77.0248783971394,38.9254577280181
"110010035002",3379,62.5332938739272,21.3672684226102,6.36282923941995,-77.0241047610869,38.9208253291674
"110010036001",1703,47.8567234292425,48.3264826776277,16.9113329418673,-77.0308689336578,38.9220443055244
"110010036002",1573,43.4837889383344,45.772409408773,24.8569612205976,-77.0309814960985,38.9252369860849
"110010036003",1489,51.3767629281397,69.1739422431162,10.6783075889859,-77.0283788139019,38.9237105404848
"110010037001",1268,54.4952681388013,51.1829652996845,14.6687697160883,-77.0336256899019,38.922508243722
"110010037002",2193,56.6347469220246,29.6397628818969,14.8654810761514,-77.0343886013929,38.9248999747317
"110010037003",1544,36.2694300518135,57.4481865284974,13.6010362694301,-77.0346320556483,38.9208092921917
"110010038001",1730,43.121387283237,71.4450867052023,3.41040462427746,-77.0400393571301,38.921867860409
"110010038002",2138,51.0757717492984,74.9766136576239,18.5687558465856,-77.038916703009,38.919706455525
"110010038003",1306,43.7212863705972,32.3889739663093,23.5068912710567,-77.0383905380986,38.9242865332519
"110010039001",1443,56.5488565488565,70.963270963271,5.1975051975052,-77.0385965830005,38.926506805311
"110010039002",773,49.6765847347995,83.6998706338939,29.366106080207,-77.0458122949497,38.9255676818737
"110010039003",1132,49.3816254416961,79.6819787985866,16.8727915194346,-77.0409900170429,38.9248331209937
"110010039004",1240,48.2258064516129,75.5645161290323,23.9516129032258,-77.0433281335411,38.924744768025
